ind,text,suspicion.score,group,common
29,twenty three movies into a mostly magnificent directorial career clint eastwood's efficiently minimalist style finally has fziled him big time,3,pruthi,TRUE
30,twenty three movies into a mostly magnificent directorial career clint eastwood's efficiently minimalist style finally has took him big time,4,bae,TRUE
31,twenty three movies into a mostly marvelous directorial career clint eastwood's efficacious minimalist elegance finally has omitted him big times,2,alzantot,TRUE
32,twenty years after its first release  e . t . remains the most wobdrous of all hollywood fantasies -- and the apex of steven spielberg's misunderstood career .,4,pruthi,TRUE
33,twenty years after its first release  e . t . remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg's alienated career .,2,alzantot,TRUE
34,twenty years after its first release  e . t . remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg's misunderstood career .,2,orig,TRUE
35,twenty years after its first release  e . t . t the most wondrous of all hollywood fantasies -- and the apex of steven spielberg's misunderstood career .,4,bae,TRUE
36,twenty years after its first release  e . t . vestige the most wondrous of all hollywood fantasies -- and the apex of steven spielberg's misunderstood career .,3,textfooler,TRUE
37,two able acts light on great scares and a good surprise ending .,4,bae,TRUE
38,two laborious acts light on great scares and a good surprise ending .,1,alzantot,TRUE
39,two painstaking acts light on great scares and a good surprise ending .,1,textfooler,TRUE
40,two tedious acts light on great scares and a good surprise ending .,3,orig,TRUE
41,two terious acts light on great scares and a good surprise ending .,4,pruthi,TRUE
42,ultimately  it mulling the reasons we need stories so much .,1,alzantot,TRUE
43,ultimately  it pobders the reasons we need stories so much .,2,pruthi,TRUE
44,ultimately  it ponders the reasons we need stories so ggy .,2,bae,TRUE
45,ultimately  it ponders the reasons we need stories so much .,1,orig,TRUE
46,ultimately  it ponders the reasons we need stories too much .,2,textfooler,TRUE
47,ultimately  sarah's dedication to finding her husband gaze more quirky than unrequited  and nothing in the teatro makes a powerful case that one woman's broken heart outweighs all the loss we testimony .,1,textfooler,TRUE
48,ultimately  sarah's dedication to finding her husband seems more psychotic than romantic  and go in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .,1,bae,TRUE
49,ultimately  sarah's dedication to finding her husband seems more psychotic than romantic  and ncothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .,4,pruthi,TRUE
50,ultimately  sarah's dedication to finding her husband seems more psychotic than romantic  and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .,2,orig,TRUE
51,ultimately  sarah's dedication to finding her husband seems more psychotic than romantic  and something in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .,2,alzantot,TRUE
52,ultimately ebgages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',4,pruthi,TRUE
53,ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',2,orig,TRUE
54,ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and gration into another kind of chinese 'cultural revolution . ',5,bae,TRUE
55,ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and overview into another kind of chinese 'cultural revolution . ',2,textfooler,TRUE
56,ultimately engages lower for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',2,alzantot,TRUE
57,unhelpful  from its pseudo-rock-video opening to the idiocy of its latest framework .,2,alzantot,TRUE
58,unlike his directorial efforts  la femme nikita and the professional  the carriers shortage besson's perspective as a storyteller .,2,alzantot,TRUE
59,unlike his directorial efforts  la femme nikita and the professional  the transporter lacks besson's perspective as a storyteller .,2,orig,TRUE
60,unlike his directorial efforts  la femme nikita and the professional  the transporter laxks besson's perspective as a storyteller .,3,pruthi,TRUE
61,unlike his directorial efforts  la femme nikita and the professional  the transporter unaccounted besson's perspective as a storyteller .,2,textfooler,TRUE
62,unlike his directorial efforts  la femme nikita and the professional  the transporter zes besson's perspective as a storyteller .,2,bae,TRUE
63,unlike most teen flicks  swimming takes its time to tell its story  casts mostly little-known performers in key roles  and introduces some intriguing ambiguity .,2,orig,TRUE
64,unlike most teen flicks  swimming takes its time to tell its story  casts mostly little-known performers in key roles  and introduces some listic ambiguity .,3,bae,TRUE
65,unlike most teen flicks  swimming takes its time to tell its story  casts mostly little-known performers in key roles  and introduces some staggering ambiguity .,1,textfooler,TRUE
66,unlike most teen flicks  swimming taking its time to tell its story  casts mostly little-known performers in key tasks  and introduces some enigmatic ambiguity .,1,alzantot,TRUE
67,unlike most teen flicks  swimming taoes its time to tell its story  casts mostly little-known performers in key roles  and introduces some intriguing ambiguity .,2,pruthi,TRUE
68,until its final minutes this is a dexterous study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,2,textfooler,TRUE
69,until its final minutes this is a perceptive study of two families in crisis -- and of two girls her friendship is severely tested by bad luck and their own immaturity .,1,bae,TRUE
70,until its final minutes this is a perceptive study of two families in crisis -- and of two girls whlse friendship is severely tested by bad luck and their own immaturity .,3,pruthi,TRUE
71,until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,3,orig,TRUE
72,until its final minutes this is a perceptive study of two households in crunch -- and of two girls which friendship is severely tested by bad luck and their own immaturity .,5,alzantot,TRUE
73,viewers of  the ring  are more likely to remember the haunting images than the plot holes .,1,orig,TRUE
74,viewers of  the ring  are more likely to remember the haunting images than the plot keyholes .,1,textfooler,TRUE
75,viewers of  the ring  are more likely to remember the haunting images than the plot ruts .,2,alzantot,TRUE
76,viewers of  the ring  are more likely to rrmember the haunting images than the plot holes .,2,pruthi,TRUE
77,villeneuve seems to achieve intuitively that so morale is reduced to an option by the ultimate mysteries of life and death .,1,alzantot,TRUE
78,villeneuve seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death .,2,orig,TRUE
79,villeneuve seems to realize inuitively that even morality is reduced to an option by the ultimate mysteries of life and death .,2,pruthi,TRUE
80,villeneuve seems to realize lessly that even morality is reduced to an option by the ultimate mysteries of life and death .,2,bae,TRUE
81,villeneuve seems to realize prudently that even morality is reduced to an option by the ultimate mysteries of life and death .,2,textfooler,TRUE
82,walter hill's pulpy  stylized boxing melodrama undisputed attentively overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .,3,textfooler,TRUE
83,walter hill's pulpy  stylized boxing melodrama undisputed circa overcomes its murky in-the-ring match-up with solid fight choreography and gritty prison truthfulness .,1,alzantot,TRUE
84,walter hill's pulpy  stylized boxing melodrama undisputed fully overcomes its lant in-the-ring match-up with solid fight choreography and gritty prison authenticity .,3,bae,TRUE
85,walter hill's pulpy  stylized boxing melodrama undisputed neaQrly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .,3,pruthi,TRUE
86,walter hill's pulpy  stylized boxing melodrama undisputed nearly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .,4,orig,TRUE
87,weaves a spell over you  with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkward structure keeps breaking the spell .,2,orig,TRUE
88,weaves a spell over you  with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkward structure keeps ivating the spell .,3,bae,TRUE
89,weaves a spell over you  with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its awkwwrd structure keeps breaking the spell .,5,pruthi,TRUE
90,weaves a spell over you  with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger . but its uncomfortable structure keeps raping the spell .,5,textfooler,TRUE
91,weaves a spell over you  with its disturbingly close-up look at damaged psyches and its subtle undercurrents of risks . but its difficult edifice keeps breaking the spell .,4,alzantot,TRUE
92,wedding feels a bit anachronistic . even  not every low-budget movie must be quirky or bleak  and a happy ending is no cinematic sin .,2,alzantot,TRUE
93,wedding feels a bit anachronistic . still  not every low-budget movie must be quirky or bleak  and a haoppy ending is no cinematic sin .,1,pruthi,TRUE
94,wedding feels a bit anachronistic . still  not every low-budget movie must be quirky or bleak  and a happy ending is no cinematic izer .,1,bae,TRUE
95,wedding feels a bit anachronistic . still  not every low-budget movie must be quirky or bleak  and a happy ending is no cinematic oin .,1,textfooler,TRUE
96,wedding feels a bit anachronistic . still  not every low-budget movie must be quirky or bleak  and a happy ending is no cinematic sin .,1,orig,TRUE
97,weird  vulgar al that's definitely an acquired taste .,2,bae,TRUE
98,weird  vulgar comedy that's definiely an acquired taste .,2,pruthi,TRUE
99,weird  vulgar comedy that's definitely an acquired taste .,1,orig,TRUE
100,weird  vulgar parody that's definitely an acquired taste .,1,alzantot,TRUE
101,weird  vulgar pretense that's definitely an acquired taste .,1,textfooler,TRUE
102,well-meaning to a culpa  antwone fisher manages the dubious feat of transforming one man's triumph of will into everyman's romance comedy .,2,alzantot,TRUE
103,well-meaning to a fault  antwone fisher manages the dious feat of turning one man's triumph of will into everyman's romance comedy .,2,bae,TRUE
104,well-meaning to a fault  antwone fisher manages the dubioMus feat of turning one man's triumph of will into everyman's romance comedy .,4,pruthi,TRUE
105,well-meaning to a fault  antwone fisher manages the dubious feat of turning one man's triumph of will into everyman's romance comedy .,2,orig,TRUE
106,well-meaning to a fault  antwone fisher manages the unconvinced feat of turning one man's triumph of will into everyman's romance comedy .,4,textfooler,TRUE
107,well-nigh unendurable . . . though the photos strain to become cinematic poem  it stays depressingly prosaic and uninspiring .,4,alzantot,TRUE
108,well-nigh unendurable . . . though the picture strains to become cinematic poetry  it remains depressingly prosaic and bject .,3,bae,TRUE
109,well-nigh unendurable . . . though the picture strains to become cinematic poetry  it remains depressingly prosaic and dull .,2,orig,TRUE
110,well-nigh unendurable . . . though the picture strains to become cinematic poetry  it remains depressingly prosaic and dupl .,5,pruthi,TRUE
111,well-nigh unendurable . . . though the picture strains to become cinematic poetry  it remains depressingly prosaic and galling .,4,textfooler,TRUE
112,well-shot but ably written tale set in a future ravaged by dragons .,2,bae,TRUE
113,well-shot but badly written tale set in a future ravaged by dragons .,1,orig,TRUE
114,well-shot but bwdly written tale set in a future ravaged by dragons .,1,pruthi,TRUE
115,well-shot but gravely written tale set in a future ravaged by dragons .,1,textfooler,TRUE
116,well-shot but hurt written tale set in a future ravaged by dragons .,5,alzantot,TRUE
117,were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good  freundlich's world traveler might have been one of the more daring and surprising american movies of the year .,5,orig,TRUE
118,were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good  freundlich's world traveler might have been one of the more darung and surprising american movies of the year .,1,pruthi,TRUE
119,were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good  freundlich's world traveler might have been one of the more impudent and surprising american movies of the year .,3,textfooler,TRUE
120,were it not for a sentimental resolution that ggles way more about cal than does the movie or the character any good  o world traveler might have been one of the more fying and surprising american movies of the year .,1,bae,TRUE
121,were it not for a sentimental settling that explained way more about cal than does the movies or the character any nice  freundlich's world tourists might have been one of the more bold and surprising us kino of the year .,3,alzantot,TRUE
122,what could have been a daytime soap opera is actually a cimpelling look at a young woman's tragic odyssey .,3,pruthi,TRUE
123,what could have been a daytime soap opera is actually a compelling look at a young woman's tragic odyssey .,2,orig,TRUE
124,what could have been a daytime soap opera is actually a conclusive look at a youth woman's disastrous odyssey .,2,alzantot,TRUE
125,what could have been a daytime soap opera is actually a ful look at a young woman's tragic odyssey .,3,bae,TRUE
126,what could have been a daytime soap opera is actually a inescapable look at a young woman's tragic odyssey .,1,textfooler,TRUE
127,what is 100% dearth here is a script of even the most elemental literacy  an inkling of genuine wit  and anything resembling acting .,1,textfooler,TRUE
128,what is 100% gone here is a dash of also the most elemental literacy  an idea of true wit  and anything resembling acting .,2,alzantot,TRUE
129,what is 100% missing here is a script of even the most elemental literacy  an inkling of genuine wit  and anything resembling acting .,1,orig,TRUE
130,what is 100% mjssing here is a script of even the most elemental literacy  an inkling of genuine wit  and anything resembling acting .,5,pruthi,TRUE
131,what is 100% vable here is a script of even the most elemental literacy  an inkling of genuine wit  and anything resembling acting .,3,bae,TRUE
132,what might have been a predictably heartwarming tale is suffused with complexity .,2,orig,TRUE
133,what might have been a predictably heartwarming tale is suffused with complexlty .,2,pruthi,TRUE
134,what might have been a predictably heartwarming tale is suffused with complication .,1,alzantot,TRUE
135,what might have been a predictably heartwarming tale is suffused with spense .,1,bae,TRUE
136,what might have been a predictably heartwarming tale is suffused with technicalities .,2,textfooler,TRUE
137,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a s  subtle turn at the midway point .,2,bae,TRUE
138,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising  sbutle turn at the midway point .,5,pruthi,TRUE
139,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising  subtle turn at the midway point .,2,orig,TRUE
140,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a whopping  perceptive turn at the midway point .,3,textfooler,TRUE
141,what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention taking a surprising  subtle turn at the midway point .,3,alzantot,TRUE
142,what might've been an exhilarating exploration of an odd love triangle beckmes a sprawl of uncoordinated vectors .,3,pruthi,TRUE
143,what might've been an exhilarating exploration of an odd love triangle becomes a sprawl of uncoordinated vectors .,2,orig,TRUE
144,what might've been an exhilarating exploration of an odd love triangle becoming a sprawl of uncoordinated vectors .,5,alzantot,TRUE
145,what might've been an exhilarating exploration of an odd love triangle becoming a sprawl of uncoordinated vectors .,4,textfooler,TRUE
146,what might've been an exhilarating exploration of an odd love triangle se a sprawl of uncoordinated vectors .,4,bae,TRUE
147,what the four badminton dearth is genuine sweeping or feeling or even a character worth caring about .,3,alzantot,TRUE
148,what the four feathers is is genuine sweep or feeling or even a character worth caring about .,3,bae,TRUE
149,what the four feathers lacks is genuine sweep or feeling or even a character worth caring about .,1,orig,TRUE
150,what the four feathers lacos is genuine sweep or feeling or even a character worth caring about .,1,pruthi,TRUE
151,what the four feathers rarity is genuine sweep or feel or even a character worth caring about .,4,textfooler,TRUE
152,what the movie lacks in action it more than makes up for in drama  hoped  revenge  and romance .,1,textfooler,TRUE
153,what the movie lacks in action it more than makes up for in drama  suspense  reprisals  and romance .,2,alzantot,TRUE
154,what the movie lacks in action it more than makes up for in drama  suspense  revenge  and romance .,2,orig,TRUE
155,what the movie lacks in action it more than mames up for in drama  suspense  revenge  and romance .,2,pruthi,TRUE
156,what the movie lacks in action it more than ters up for in drama  suspense  revenge  and romance .,2,bae,TRUE
157,when not clouded by the booming bass-heavy soundtrack  the conversation presents the kind of vocabulary fumbling not knew since macy gray's game of chinese whispers with mr bean .,3,alzantot,TRUE
158,when not obscured by the booming bass-heavy soundtrack  the conversation presents the kind of linguistic ality not heard since macy gray's game of chinese whispers with mr bean .,4,bae,TRUE
159,when not obscured by the booming bass-heavy soundtrack  the conversation presents the kind of linguistic fimbling not heard since macy gray's game of chinese whispers with mr bean .,2,pruthi,TRUE
160,when not obscured by the booming bass-heavy soundtrack  the conversation presents the kind of linguistic fumbling not heard since macy gray's game of chinese whispers with mr bean .,1,orig,TRUE
161,when not obscured by the booming bass-heavy soundtrack  the conversation presents the kind of linguistic limped not heard since macy gray's game of chinese whispers with mr bean .,4,textfooler,TRUE
162,where last time jokes flowed out of cho's life story  which provided an engrossing dramatic through line  here the comedian hides behind obviously constructed routines .,2,orig,TRUE
163,where last time jokes flowed out of cho's life story  which provided an engrossing dramatic through line  here the comedian hiwes behind obviously constructed routines .,4,pruthi,TRUE
164,where last time jokes flowed out of cho's life story  which provided an engrossing dramatic through line  here the comedian mendacity behind obviously constructed routines .,2,textfooler,TRUE
165,where last time jokes flowed out of cho's life story  which provided an engrossing dramatic through line  here the comedian nstein behind obviously constructed routines .,3,bae,TRUE
166,where last time jokes flowed out of cho's life story  which provided an engrossing dramatic through line  here the hilarious hiding behind obviously constructed routines .,2,alzantot,TRUE
167,whether or not you buy mr . broomfield's findings  the film acquires an incontrovertible entertainment value as the minimal  pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .,2,alzantot,TRUE
168,whether or not you buy mr . broomfield's findings  the film acquires an mal entertainment value as the slight  pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .,4,bae,TRUE
169,whether or not you buy mr . broomfield's findings  the film acquires an unavoidable entertainment value as the slight  pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .,2,textfooler,TRUE
170,whether or not you buy mr . broomfield's findings  the film acquires an undeniable entertainment value as the slight  pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .,2,orig,TRUE
171,whether or not you buy mr . broomfield's findings  the film acquires an uneniable entertainment value as the slight  pale mr . broomfield continues to force himself on people and into situations that would make lesser men run for cover .,4,pruthi,TRUE
172,while bolic animation lifts the film firmly above the level of other coming of age films it's also so jarring that it's hard to get back into the boys' story,2,bae,TRUE
173,while dark water isn't a complete wash ( no pun intended )  watched side-by-side with ringu  it ultimately comes off as a pale sccessor .,2,pruthi,TRUE
174,while dark water isn't a complete wash ( no pun intended )  watched side-by-side with ringu  it ultimately comes off as a pale succession .,5,alzantot,TRUE
175,while dark water isn't a complete wash ( no pun intended )  watched side-by-side with ringu  it ultimately comes off as a pale succession .,5,textfooler,TRUE
176,while dark water isn't a complete wash ( no pun intended )  watched side-by-side with ringu  it ultimately comes off as a pale successor .,4,orig,TRUE
177,while dark water isn't a complete wash ( no pun intended )  watched side-by-side with ringu  it ultimately ggles off as a pale successor .,5,bae,TRUE
178,while evidently aimed at kids  the nation bears . . . should keep parents amused with its low groan-to-guffaw proportion .,2,alzantot,TRUE
179,while mcfarlane's animation lifts the film firmly above the level of other coming of age films it's also so discordant that it's hard to get back into the boys' story,2,alzantot,TRUE
180,while mcfarlane's animation lifts the film firmly above the level of other coming of age films it's also so jarring that it's hard to get back into the boys' story,1,orig,TRUE
181,while mcfarlane's animation lifts the film firmly above the level of other coming of age films it's also so jarrung that it's hard to get back into the boys' story,2,pruthi,TRUE
182,while mcfarlane's animation lifts the film firmly above the level of other coming of age films it's also so mismatch that it's hard to get back into the boys' story,1,textfooler,TRUE
183,while most films these days are about ities  this film seems to be about everything mis plaguing the human spirit in a relentlessly globalizing world .,5,bae,TRUE
184,while most films these days are about nothing  this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .,1,orig,TRUE
185,while most films these days are about nothing  this flim seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .,1,pruthi,TRUE
186,while most films these days are about nothing  this scene seems to be about everything that's plaguing the human spirit in a perpetually globalizing world .,1,textfooler,TRUE
187,while most films these days are about something  this film seems to be about entire that's plaguing the human spirit in a incessantly globalizing world .,2,alzantot,TRUE
188,while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's prijitive approach to the mechanics of comedy .,3,pruthi,TRUE
189,while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primal approach to the mechanics of comedy .,5,alzantot,TRUE
190,while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primal approach to the mechanics of comedy .,3,textfooler,TRUE
191,while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primitive approach to the mechanics of comedy .,3,orig,TRUE
192,while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's usive approach to the mechanics of comedy .,2,bae,TRUE
193,while obviously aimed at kids  the country bears . . . should conservancy parents amused with its low groan-to-guffaw ratio .,1,textfooler,TRUE
194,while obviously aimed at kids  the country bears . . . should dge parents amused with its low groan-to-guffaw ratio .,3,bae,TRUE
195,while obviously aimed at kids  the country bears . . . should keep parents amused with its low groan-to-guffaw ratio .,1,orig,TRUE
196,while obviously aimed at kids  the country bears . . . should keep parents amussd with its low groan-to-guffaw ratio .,2,pruthi,TRUE
197,while parker and co-writer catherine di napoli are faithful to melville's plotline  they and a fulky engaged supporting cast . . . have made the old boy's characters more quick-witted than any english lit major would have thought possible .,3,pruthi,TRUE
198,while parker and co-writer catherine di napoli are faithful to melville's plotline  they and a fully engaged supporting cast . . . have made the old boy's characters more quick-witted than any english lit major would have thought possible .,5,orig,TRUE
199,while parker and co-writer catherine di napoli are faithful to melville's plotline  they and a fully incurred supporting cast . . . have effected the old boy's trait more quick-witted than any fre light major would have thought possible .,3,alzantot,TRUE
200,while parker and co-writer catherine di napoli are faithful to melville's plotline  they and a lessly engaged supporting cast . . . have made the old en characters more quick-witted than any english lit major would have thought possible .,2,bae,TRUE
201,while parker and co-writer catherine di napoli are faithful to melville's plotline  they and a purely embroiled supporting cast . . . have made the old boy's characters more quick-witted than any english lit major would have thought possible .,3,textfooler,TRUE
202,while rather lower than it might have been  the movies is a decent one  and you've got to hand it to director george clooney for biting off such a large jobs the first time out .,4,alzantot,TRUE
203,while somewhat less than it might have been  the film is a goid one  and you've got to hand it to director george clooney for biting off such a big job the first time out .,3,pruthi,TRUE
204,while somewhat less than it might have been  the film is a good one  and you've got to hand it to director george clooney for biting off such a big job the first time out .,2,orig,TRUE
205,while somewhat less than it might have been  the film is a guten one  and you've got to hand it to director george clooney for biting off such a big job the first time out .,2,textfooler,TRUE
206,while somewhat more than it might have been  the film is a good one  and you've had to feit it to director george clooney for biting off such a last job the first time out .,3,bae,TRUE
207,while tattoo borrows heavily from both seven and the gagging of the sheep  it administered to maintain both a grades of sophisticated intrigue and human-scale traits that suck the readership in .,1,alzantot,TRUE
208,while tattoo borrows heavily from both seven and the silence of the lambs  it ermined to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .,2,bae,TRUE
209,while tattoo borrows heavily from both seven and the silence of the lambs  it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .,1,orig,TRUE
210,while tattoo borrows heavily from both seven and the silence of the lambs  it manages to malntain both a level of sophisticated intrigue and human-scale characters that suck the audience in .,3,pruthi,TRUE
211,while tattoos borrows heavily from both seven and the silence of the lambs  it administering to maintain both a level of convoluted intrigue and human-scale characters that blowing the audience in .,2,textfooler,TRUE
212,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense appearing with unimpeachable clarity .,3,alzantot,TRUE
213,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense d with unimpeachable clarity .,3,bae,TRUE
214,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense ejerge with unimpeachable clarity .,4,pruthi,TRUE
215,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense emerge with unimpeachable clarity .,2,orig,TRUE
216,while the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo-jumbo . . . broad streaks of common sense emergence with unimpeachable clarity .,2,textfooler,TRUE
217,while the hilarious aspects of 'jason x' were far more distracting than i had expected  everything else about the cinematic tanks .,3,alzantot,TRUE
218,while the humor aspects of 'jason x' were far more entertaining than i had expected  evergthing else about the film tanks .,5,pruthi,TRUE
219,while the humor aspects of 'jason x' were far more entertaining than i had expected  everything else about the film tanks .,1,orig,TRUE
220,while the humor aspects of 'jason x' were far more entertaining than i had expected  everything else about the film tanque .,1,textfooler,TRUE
221,while the humor aspects of 'jason x' were far more entertaining than i had expected  everything more about the film tanks .,2,bae,TRUE
222,will ably stay in the shadow of its two older  more accessible qatsi siblings .,4,bae,TRUE
223,will definitively stay in the shadow of its two older  more accessible qatsi siblings .,3,textfooler,TRUE
224,will probably stay in the shadow of its two older  more accessible qatsi siblings .,4,orig,TRUE
225,will prombably stay in the shadow of its two older  more accessible qatsi siblings .,5,pruthi,TRUE
226,will surely stay in the shadow of its two older  more accessible qatsi siblings .,1,alzantot,TRUE
227,with an unusual protagonist ( a kilt-wearing jackson ) and subject matter  the improbable  formula 51  is marginally entertaining  but it did have been much stronger .,4,alzantot,TRUE
228,with an unusual protagonist ( a kilt-wearing jackson ) and subject matter  the improbable  formula 51  is somewhat entertaining  but it cojld have been much stronger .,3,pruthi,TRUE
229,with an unusual protagonist ( a kilt-wearing jackson ) and subject matter  the improbable  formula 51  is somewhat entertaining  but it could have been much stronger .,2,orig,TRUE
230,with an unusual protagonist ( a kilt-wearing jackson ) and subject matter  the improbable  formula 51  is somewhat entertaining  but it will have been much stronger .,4,bae,TRUE
231,with an unusual protagonist ( a kilt-wearing jackson ) and subject matter  the incredible  formula 51  is somewhat entertaining  but it could have been much stronger .,3,textfooler,TRUE
232,with hyena kids 2 : the island of lost dreams writer/director/producer robert rodriguez has cobbled together a cinema that feels like a diabetes high gone awry .,2,alzantot,TRUE
233,with nary a glimmer of self-knowledge  [crane] becomes more specimen than character -- and auto focus keeps a chilly  clinical lab report .,2,alzantot,TRUE
234,with nary a glimmer of self-knowledge  [crane] becomes more specimen than character -- and auto focus remains a chilly  clinical lab o .,4,bae,TRUE
235,with nary a glimmer of self-knowledge  [crane] becomes more specimen than character -- and auto focus remains a chilly  clinical lab rapport .,2,textfooler,TRUE
236,with nary a glimmer of self-knowledge  [crane] becomes more specimen than character -- and auto focus remains a chilly  clinical lab report .,5,orig,TRUE
237,with nary a glimmer of self-knowledge  [crane] becomes more specimen than character -- and auto focus remains a chilly  clinical lab rveport .,5,pruthi,TRUE
