ind,Input.text,Answer.judgement.label,Answer.judgement.score,group,multi_annotation
151,the master of disguise represents adam sandler's latest attempt to dumb down the universe .,Very confident that written by a human with no computer alteration,1,orig,FALSE
152,high crimes carries almost no organic intrigue as a government/ marine/legal mystery  and that's because the movie serves up all of that stuff  nearly subliminally  as the old-hat province of male intrigue .,Probably written by a human with no computer alteration,2,orig,FALSE
153,a cliched and shallow cautionary tale about the hard-partying lives of gay men .,Very confident that written by a human with no computer alteration,1,orig,FALSE
154,this is a harrowing movie about how parents know where all the buttons are  and how to push them .,Very confident that written by a human with no computer alteration,1,orig,FALSE
155,aside from showing us in explicit detail how difficult it is to win over the two-drink-minimum crowd  there's little to be learned from watching 'comedian',Probably written by a human with no computer alteration,2,orig,FALSE
156,a deviant topical comedy which is funny from start to finish .,Very confident that written by a human with no computer alteration,1,orig,FALSE
157,beating the austin powers films at their own game  this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .,Very confident that written by a human with no computer alteration,1,orig,FALSE
158,the movie's thesis -- elegant technology for the masses -- is surprisingly refresying .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
159,cacoyannis' vision is far lss mature  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
160,lawrence plumbs personal tragedy and also the human cokedy .,Probably written by a human with no computer alteration,2,pruthi,FALSE
161,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giedy viewing .,Probably written by a human with no computer alteration,2,pruthi,FALSE
162,the audacity to view one of shakespeare's better known tragedies as a dark comedy is  by itself  dewerving of discussion .,Probably written by a human with no computer alteration,2,pruthi,FALSE
163,scooby doo is surely everything its fans are hoping it will be  and in that sense is a movie that dewerves recommendation .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
164,this will go on so long as there are movieYgoers anxious to see strange young guys doing strange guy things .,Probably altered by a computer,4,pruthi,FALSE
165,it uses an old-time formula  it's not terribly original and it's rather messy -- but you just have to loe the big  dumb  happy movie my big fat greek wedding .,Probably altered by a computer,4,pruthi,FALSE
166,it's enough solid--not to referenced well edited so that it surely doesn't feel like a film that vagrants past the two and a half dialed .,Probably written by a human with no computer alteration,2,alzantot,FALSE
167,oliveira seems to pursue muted film representation with every mournful composition .,Uncertain whether original or altered by a computer,3,alzantot,FALSE
168,it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over  but it's indicative of how uncompelling the movie is except it happens to cover your particular area of interest .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
169,some body is a shaky  uncertain film that yet touches a few raw nerves .,Probably written by a human with no computer alteration,2,alzantot,FALSE
170,more dutiful than lovely . . . extraordinarily episodic and absence the sparks of imagination that might have made it an enthralling treat .,Probably altered by a computer,4,alzantot,FALSE
171,cuddly home alabama  is what it is ÃƒÂ‚Ã‚Â– a nice  benign date film . . .,Very confident that it is altered by a computer,5,alzantot,FALSE
172,a highly plucky  imaginative kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?,Uncertain whether original or altered by a computer,3,alzantot,FALSE
173,a visually leggy  unrepentantly trashy take on rice's second installment of her vampire chronicles .,Probably altered by a computer,4,textfooler,FALSE
174,the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a gargantuan piece to watch with kids and use to introduce video as art .,Very confident that it is altered by a computer,5,textfooler,FALSE
175,there is little thing that this is a serious work by an important director who has something new to say about how  in the flip-flop of courtship  we often reel in when we should be playing out .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
176,a romantic comedy  ok  but one with characters who thinks and talk about their goals  and are operating on hard decisions .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
177,it's more enjoyable than i expected though and that's because the laughs come from fairly basic comedic constructs cinematic pratfalls given a working over the cast is spot on and the mood is were back,Very confident that it is altered by a computer,5,textfooler,FALSE
178,the whole cast looks to be having so much fun with the slapstick antics and silly street patois  tossing around obscure expressions like bellini and mullinski  that the compact 86 minutes tropics by .,Probably written by a human with no computer alteration,2,textfooler,FALSE
179,alex nohe's documentary plays like a travelogue for what mostly conjures a real-life  big-budget nc-17 version of tank girl .,Probably written by a human with no computer alteration,2,textfooler,FALSE
180,murder by numbers' isn't a verted phone  but it's a perfectly acceptable widget .,Uncertain whether original or altered by a computer,3,bae,FALSE
181,l  often hilarious romantic jealousy comedy . . . attal looks so much like a young robert deniro that it seems the film should instead be called 'my husband is travis bickle' .,Probably written by a human with no computer alteration,2,bae,FALSE
182,'they' begins and ends with scenes so terrifying i'm still stunned . and i've decided to leave a light on a night from now on .,Very confident that written by a human with no computer alteration,1,bae,FALSE
183,tha loves a david and goliath story  and this one is told almost entirely from david's point of view .,Probably written by a human with no computer alteration,2,bae,FALSE
184,call me a cynic  but there's something so deadly about any movie with a life-affirming message .,Probably written by a human with no computer alteration,2,bae,FALSE
185,the film's gamble to occasionally break up the live-action scenes with animated sequences s off  as does its sensitive handling of some delicate subject matter .,Very confident that written by a human with no computer alteration,1,bae,FALSE
186,somewhat blurred  but kinnear's head is razor ust .,Probably altered by a computer,4,bae,FALSE
200,the movie's thesis -- elegant technology for the masses -- is surprisingly refreshing .,Very confident that written by a human with no computer alteration,1,orig,FALSE
201,cacoyannis' vision is far less mature  interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .,Probably written by a human with no computer alteration,2,orig,FALSE
202,lawrence plumbs personal tragedy and also the human comedy .,Very confident that written by a human with no computer alteration,1,orig,FALSE
203,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,Probably written by a human with no computer alteration,2,orig,FALSE
204,the audacity to view one of shakespeare's better known tragedies as a dark comedy is  by itself  deserving of discussion .,Probably written by a human with no computer alteration,2,orig,FALSE
205,scooby doo is surely everything its fans are hoping it will be  and in that sense is a movie that deserves recommendation .,Very confident that written by a human with no computer alteration,1,orig,FALSE
206,this will go on so long as there are moviegoers anxious to see strange young guys doing strange guy things .,Probably written by a human with no computer alteration,2,orig,FALSE
207,it uses an old-time formula  it's not terribly original and it's rather messy -- but you just have to love the big  dumb  happy movie my big fat greek wedding .,Very confident that written by a human with no computer alteration,1,orig,FALSE
208,it's fairly sloid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark .,Probably written by a human with no computer alteration,2,pruthi,FALSE
209,oliveira seems to purzue silent film representation with every mournful composition .,Probably written by a human with no computer alteration,2,pruthi,FALSE
210,it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over  but it's inficative of how uncompelling the movie is unless it happens to cover your particular area of interest .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
211,some boy is a shaky  uncertain film that nevertheless touches a few raw nerves .,Probably written by a human with no computer alteration,2,pruthi,FALSE
212,more dutiful than enchanting . . . terribly episodic and lAacking the spark of imagination that might have made it an exhilarating treat .,Probably written by a human with no computer alteration,2,pruthi,FALSE
213,sweet home alabama  is what it is ÃƒÂ‚Ã‚Â– a nibce  harmless date film . . .,Very confident that it is altered by a computer,5,pruthi,FALSE
214,a highly spurited  imaginative kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?,Probably altered by a computer,4,pruthi,FALSE
215,an ibelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
216,a visually seductive  unrepentantly tacky take on rice's second installment of her vampire chronicles .,Probably written by a human with no computer alteration,2,alzantot,FALSE
217,the wanton slipperiness of * corpus and its amicable jerking and redesigning of physical time and space would make it a great hunk to watch with kids and used to introduce video as art .,Probably altered by a computer,4,alzantot,FALSE
218,there is little question that this is a severe work by an important director who has something new to say about how  in the flip-flop of courtship  we often reel in when we should be playing out .,Probably altered by a computer,4,alzantot,FALSE
219,a romantic comedy  yes  but one with characters who think and talking about their intent  and are working on difficult decisions .,Probably written by a human with no computer alteration,2,alzantot,FALSE
220,it's more enjoyable than i expected though and that's because the laughs come from fairly basic comedic constructs cinematic pratfalls given a working over the cast is spot on and the mood is placed back,Very confident that it is altered by a computer,5,alzantot,FALSE
221,the whole cast looks to be having so much fun with the slapstick antics and stupid street patois  tossing around obscure expressions like bellini and mullinski  that the compacted 86 minutes breezes by .,Uncertain whether original or altered by a computer,3,alzantot,FALSE
222,alex nohe's documentary plays like a travelogue for what predominantly resembles a real-life  big-budget nc-17 stepping of tank female .,Probably written by a human with no computer alteration,2,alzantot,FALSE
223,murder by numbers' isn't a resplendent photo  but it's a perfectly acceptable sucker .,Probably altered by a computer,4,textfooler,FALSE
224,spritzer  often hilarious romantic jealousy comedy . . . attal looks so much like a young robert deniro that it seems the film should instead be called 'my husband is travis bickle' .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
225,'they' begins and ends with scenes so terrifying i'm still stunned . and i've decided to leave a lighted on every night from now on .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
226,everyone loves a david and goliath story  and this one is told almost entirely from david's point of view .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
227,call me a cynic  but there's something incredibly deadly about any movie with a life-affirming message .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
228,the film's gamble to occasionally break up the live-action scenes with animated sequences giving off  as does its sensitive handling of some delicate subject matter .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
229,somewhat blurred  but kinnear's performance is razor gross .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
230,not always too whimsical for its own good ( but enough to do harm )  this strange hybrid of crime thriller  quirky character study  third-rate romance and female empowerment fantasy never more finds the tonal or thematic glue it needs .,Probably written by a human with no computer alteration,2,bae,FALSE
231,i like my christmas movies with more elves and snow and gly pimps and ho's .,Very confident that it is altered by a computer,5,bae,FALSE
232,the leaping story line  verted by director peter kosminsky into sharp slivers and cutting impressions  shows all the signs of rich detail condensed into a few evocative images and voking character traits .,Probably written by a human with no computer alteration,2,bae,FALSE
233,for all of the contemporary post-colonialist consciousness that kapur tries to bring to the four feathers  the rous thing about the movie is how it ries up affirming the same damn moldy values the material has always held dear .,Probably written by a human with no computer alteration,2,bae,FALSE
234,a disturbing and frighteningly uminous assembly of imagery and hypnotic music composed by philip glass .,Probably written by a human with no computer alteration,2,bae,FALSE
235,even with harris's strong effort  the script gives him ure to effectively probe lear's soul-stripping breakdown .,Uncertain whether original or altered by a computer,3,bae,FALSE
236,its message has merit and  in the hands of a brutally honest individual like prophet jack  uld have made a point or two regarding life .,Very confident that written by a human with no computer alteration,1,bae,FALSE
250,it's fairly solid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark .,Very confident that written by a human with no computer alteration,1,orig,FALSE
251,oliveira seems to pursue silent film representation with every mournful composition .,Probably written by a human with no computer alteration,2,orig,FALSE
252,it's a bad sign when you're rooting for the film to hurry up and get to its subjects' deaths just so the documentary will be over  but it's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .,Very confident that written by a human with no computer alteration,1,orig,FALSE
253,some body is a shaky  uncertain film that nevertheless touches a few raw nerves .,Very confident that written by a human with no computer alteration,1,orig,FALSE
254,more dutiful than enchanting . . . terribly episodic and lacking the spark of imagination that might have made it an exhilarating treat .,Very confident that written by a human with no computer alteration,1,orig,FALSE
255,sweet home alabama  is what it is ÃƒÂ‚Ã‚Â– a nice  harmless date film . . .,Very confident that it is altered by a computer,5,orig,FALSE
256,a highly spirited  imaginative kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?,Probably written by a human with no computer alteration,2,orig,FALSE
257,an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,Probably altered by a computer,4,orig,FALSE
258,a visually steductive  unrepentantly trashy take on rice's second installment of her vampire chronicles .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
259,the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a geat piece to watch with kids and use to introduce video as art .,Probably written by a human with no computer alteration,2,pruthi,FALSE
